Channel	Most Similar Coefficient Level	Correlations
0	3	[-0.012291031030349448, -0.006538200332812235, -0.027705679336519632, 0.002968324057306248, -0.006835276388822037]
1	3	[0.008766460912311546, -0.022495513839600127, -0.014278290523078585, 0.012057575355290616, -0.00026973472308522493]
2	4	[-0.0004454237166879826, 0.0007853264349530917, -0.011105752950654163, 0.0008461439790594835, 0.0058743169771147494]
3	1	[-0.07198212179736088, 0.009464177169735431, -0.02964370138348768, 0.0034182303060236803, -0.005774163986565465]
4	0	[0.03813222419750311, 0.003159489376920827, -0.011510005159716378, 0.008391268868981434, -0.02915583317955138]
5	0	[0.024391915521309794, -0.009405352020057467, 0.0032636779039076033, 0.0012561095523191065, 0.00987016492085207]
6	3	[-0.012201769257638016, -0.022270211338205344, 0.005325417934234673, 0.008912833180421341, 0.003308616449906744]
7	4	[-0.010236052080041576, -0.012209499147204579, -0.018718468009119252, 0.0015676831741266485, 0.0019199407846867953]
8	0	[0.008188193133565818, -0.001496203897861687, -0.0009629212337530081, 0.0011566634657026403, -0.005742933041698397]
9	1	[-0.005932286078230419, 0.011554483315571813, 0.0006698144631769895, 0.002274843257901427, -0.0067283713547838814]
10	0	[0.0363181076902494, -0.022379176857507854, 0.01283689665731996, -0.0015042754409331212, -0.0173531369030015]
11	0	[0.0289620883617351, -0.039280335974101015, -0.00038447267560446155, 0.00160596754940356, -0.007903247349673093]
12	0	[0.03395598392572919, -0.025303580857685772, -0.010476013986465353, 0.00013115020453986832, 0.001583168632992122]
13	0	[0.014187070136882824, -0.020751075681966047, 0.008889064905172252, -0.000818250689982786, 0.0011439202413307142]
14	4	[0.017907231133878182, 0.0040419919853248885, -0.008246276954603842, 0.0024712432744994016, 0.018069358476455865]
15	0	[0.03183734902658157, -0.027509810044653287, 0.002630018080860329, -0.005099187713884436, -0.008687010789822815]
16	0	[0.042666206495216505, -0.014843946038205226, 0.000879971027130793, -0.0065805726516411905, 0.002916807694681748]
17	0	[0.010771572742954622, -0.018918649194107753, 0.0027464143585395583, -0.001866383682963244, -0.00620785784122908]
18	0	[0.014471893763410432, -0.030330672331103915, 0.011424583006365771, -0.005055135731783945, -0.0017986082743127157]
