Channel	Most Similar Coefficient Level	Correlations
0	0	[0.04396909454647098, -7.640387209969202e-05, -0.02815985606214129, -0.0027235671540114703, -0.002800199696059061]
1	2	[0.001845896064916687, -0.0025422072203857985, 0.0037788492084449674, 0.00015590948286560698, -2.478971097846974e-05]
2	1	[0.005413934518736741, 0.007916247051244371, -0.004313739996203536, -6.243050227517132e-05, 0.0006508316561373109]
3	0	[0.016385331776772302, 0.0015912156229240177, 0.015018412568260165, 0.0030524825911738525, -0.00524882010481322]
4	0	[0.00580122538299451, 0.0035474905276338207, 0.0006165455819988887, -0.0004661474875798918, -0.004681208758702174]
5	0	[0.008522518611051575, 0.00037260493939821347, -0.0023010088674571406, 0.0006740925999311379, -0.0009998223485397015]
6	2	[-0.00741800055187891, -0.01363132487034116, 0.047089475617729595, -0.0047840290219018245, 0.01155845489931984]
7	2	[-0.05422775389453935, 0.03949912931212859, 0.06424961418622062, 0.0065451133709767614, -0.0026405199276711305]
8	0	[0.10914477531399121, 0.012716476258880685, 0.011884217828563288, -0.0032696241114770425, -0.006022512705459573]
9	1	[-0.07567493487558866, 0.01692744573267776, -0.06462336399839341, -0.005879765732152481, -0.02052599391034625]
10	2	[0.013666424052095236, -0.011714124184740056, 0.01769809779428138, -0.0023033250515125314, 0.017138573666064826]
11	3	[-0.05446916581748523, -0.009596117586980361, -0.03342197090569035, 0.02514432596837676, -0.016868624414359046]
12	1	[-0.05259327665903772, 0.05235530619447736, 0.03452204211194464, -0.008446209171905214, 0.005957282357466588]
13	1	[-0.04460787217060902, 0.00887926692542782, 0.006811856265447847, -0.0021349749578358354, -0.002453507515926587]
14	0	[0.0798031484644081, -0.003291699151597326, -0.07184842632548871, -0.0042828922652809395, -0.002880974348197508]
15	0	[0.05560882773213437, -0.06031007182148835, -0.011684336889499726, -0.0044624838421540814, 0.004557877276028743]
16	0	[0.1076376479076273, -0.11587869767603551, -0.03198970997660767, -0.0076324652071195305, -0.004625404241163619]
17	0	[0.04250969358160502, -0.01197868280269363, 0.025478983866594182, 0.0012454858416853754, -0.003992704456088727]
18	2	[0.00019123217756799972, -0.00036475065688159247, 0.017685627370033805, 0.002538510193244269, -0.003545658934183735]
