Channel	Most Similar Coefficient Level	Correlations
0	2	[0.05126451699724611, -0.10188674230857536, 0.10029894863291072, -0.00897742270099543, -0.04601781357428834]
1	1	[0.09006271106090001, 0.09068522255031558, -0.009256164656931624, -0.0014709145651128788, -0.05659500072933526]
2	4	[-0.0006086238342030699, 0.008039754480867165, -0.1728845311624983, -0.007057694167671015, 0.05967101853360207]
3	1	[0.027710782274529402, 0.038638856144875444, -0.07745137778586748, -0.012448691432427864, -0.04131284692654987]
4	1	[0.011347778484945635, 0.03313333518316572, -0.07262435860817458, -4.95273865887444e-05, 0.00823839515225749]
5	0	[0.10419042314751456, 0.036228139822362955, -0.04110373011399932, 0.004344220045302734, -0.026070119928167997]
6	0	[0.22083230860307718, 0.00806357643271615, -0.005408360474902443, -0.0048536432031115115, -0.012230526710746545]
7	1	[-0.02392412394063757, 0.00916963651929265, -0.04176671099137792, -0.006700760412382682, -0.015401245946275663]
8	1	[-0.003919679530010114, 0.07288686957734214, -0.11116721838580024, -0.013719282190663347, -0.009130078136261283]
9	1	[-0.0201321567845026, 0.034974976513819464, -0.08965780300349119, -0.004128671358754697, 0.010597190818901205]
10	0	[0.09112918980913824, 0.043954915439384144, -0.08640093142757878, 0.0016548779394510284, -0.007261127675907091]
11	0	[0.156191852566536, 0.06663906986647017, 0.0042100778021336716, -0.005011024737018959, -0.03012647469360972]
12	1	[0.003204279445627915, 0.07639136137843244, 0.02136404904538103, -0.004634750429549935, -0.024564968822621873]
13	4	[0.009868820934190744, -0.004265216718370751, -0.11927360551980995, -0.021481581728912395, 0.030345070563783993]
14	1	[-0.023207656523124776, 0.010287325786069279, -0.08483700820100241, -0.007604357541280485, -0.0006419681760995629]
15	0	[0.0859092618693549, 0.06810217700537934, -0.10546551371256283, 0.002019886223688973, 0.030569713186650322]
16	1	[0.028396827996885313, 0.0776135689777985, -0.05515028288539665, 0.0004093367291685291, 0.007507450676237291]
17	1	[-0.010923886952980862, 0.021204768646703846, -0.08067805847601955, -0.005109688337622236, 0.004843705085772531]
18	1	[-0.031052314504756123, 0.03712732802222143, -0.0586771528381252, -0.000574745430509077, -0.0050404303859552715]
