Channel	Most Similar Coefficient Level	Correlations
0	0	[0.02246918826855981, 0.01010886853406148, -0.04417700772763706, 0.00799686378583029, 0.004995723723578979]
1	0	[0.012021124081892449, 0.004448715476642759, -0.012934571638935181, -0.0003381877679117527, -0.012705925469134363]
2	1	[-0.13875468608174446, 0.036014467429542764, -0.019423901699395035, 0.023169253664978386, -0.02256158262379494]
3	1	[-0.01000330497763775, 0.038060718701930445, -0.08107174257057867, 0.004713528596921472, -0.023384525306580202]
4	1	[-0.008696807970636702, 0.029304301764318696, -0.08040323498379859, 0.004132193009670016, 0.013922735763006224]
5	3	[-0.025848273321667732, -0.010023778058390729, -0.054760016625310624, 0.0013803798418643948, -0.0029652315506150427]
6	2	[0.036422622074955564, -0.014212263479998957, 0.08703778920904727, -0.0019853067549802004, 0.003801751060902782]
7	3	[-0.016942479968572684, -0.04626578259230292, -0.03966239842335941, 0.0026698550991982734, -0.0035349979078911214]
8	0	[0.04012805572501698, 0.025305149656235502, -0.12959573580435235, -0.01387748761313689, -0.049862311125544095]
9	1	[-0.0890791961462076, 0.07539380021969441, -0.174268525906372, -0.00324369987564653, -0.02685947257387345]
10	2	[-0.006540339428428193, 0.010366425280864207, 0.05849764621093851, -0.004869071559295911, 0.00141904503662759]
11	2	[0.04890246316295531, 0.005191966321433575, 0.055059692176861304, 0.0012770505095435843, 0.0103214604021614]
12	0	[0.037476813143514066, 0.03487567091363052, -0.07052517526694344, 0.003913121098102287, -0.0019122853021383498]
13	3	[-0.049666697901119924, -0.030930073656284324, -0.028744717076226067, 0.007106112399033233, -0.006950130013053443]
14	1	[-0.05919425125483059, 0.02171509350922037, -0.021677915135794992, -0.001769833506001247, -0.00529771398892607]
15	1	[0.03194253588304359, 0.08060189757271533, 0.05217266636869874, -0.008406756201518152, -0.009081477576177732]
16	1	[0.016174073847379147, 0.05024008430639921, -0.0057455988198105365, 0.00030573446648894816, 0.00045581522788650685]
17	3	[-0.0037317991368728963, -0.039839989530253216, -0.04137243683800697, 0.005635693441320555, -0.0056607882479015005]
18	1	[0.0008013139851214366, 0.041736879820252495, 0.01572631147741647, 0.005525366257018458, -0.007009272114514187]
