Channel,Mean,Zero_Crossing_Rate,Range,Energy,RMS,Variance
1,-0.0007124352637824014,12,0.11965950758984586,0.30268293550393166,0.024604184014266017,0.0006048583070027827
2,-0.0026774024595730152,14,0.05407718629156002,0.09480798045968611,0.013770111144045723,0.00018244747698884458
3,-0.0013509244802564532,12,0.10989387575389821,0.27478337885915854,0.023442840222940502,0.000547741760766961
4,-0.04893091384096257,4,0.15411387741104857,2.683836813796818,0.07326440901006187,0.0029734392982819335
5,-0.00018515217984020399,6,0.028076191528349448,0.030395441935019377,0.00779685089443416,6.0756602540339176e-05
6,-0.0006173424237798619,12,0.059814494995179254,0.07820134357153807,0.012506105994396343,0.00015602157547487771
7,-0.0027557716550564953,12,0.050842320745902364,0.07721287991394467,0.012426816158127123,0.0001468314824130765
8,-0.0015996429160782437,10,0.08337408179940292,0.17476876465011448,0.018695922798841167,0.0003469786718412697
9,-0.001907870670900341,8,0.09591681518869816,0.2668924880658202,0.023103787051728997,0.0005301450056347587
10,-0.0005331138491948135,8,0.06604008529059587,0.13118538655458956,0.016197863226647492,0.0002620865627329758
11,-0.0006202110781316709,16,0.04275515688175824,0.05284242705358229,0.010280313910925317,0.00010530019232572732
12,-0.0019169649155475672,16,0.05975345979620458,0.0959252008307289,0.013851007243571054,0.00018817564717401754
13,-0.0016127654838577988,12,0.067230271670602,0.12109783160520185,0.015562636769211177,0.00023959465070448065
14,-0.0005909752178228027,10,0.07382207315986664,0.14723600529084518,0.017160186787494196,0.0002941227588736097
15,-0.001607333351149053,6,0.08081060344246668,0.21401090858847846,0.020688688145384108,0.0004254382966752409
16,-0.0010547816948313412,14,0.052276647921807175,0.07178962217605425,0.01198245568955331,0.00014246667992835724
17,-0.0008356042953132907,10,0.06021122378851463,0.106077176649082,0.014565519328131216,0.00021145611875981795
18,-0.0008453699271492388,10,0.06930546843574086,0.13355408525493367,0.016343444267040756,0.00026639352019613906
19,-0.0007430138984687131,10,0.06481938131110242,0.10896164744043532,0.014762225268599265,0.00021737122522755295
