Channel,Mean,Zero_Crossing_Rate,Range,Energy,RMS,Variance
1,-0.000894625332721799,7,0.06365971253058364,0.09002253752633879,0.013418087607877568,0.00017924472056673
2,-0.0006645836677862582,15,0.04153445290226478,0.0388841132401669,0.008818629512590593,7.732655502884555e-05
3,-0.0004007895378177221,11,0.03994753772892329,0.05292314854629071,0.010288162960051781,0.00010568566483895727
4,-0.0001277180576050372,9,0.050262486355642975,0.05756732847451777,0.010730081870565367,0.00011511834504679713
5,-0.00014340410374152812,7,0.044097931259201036,0.039591236474676064,0.008898453402100397,7.916190821238222e-05
6,-0.00016104327624520836,11,0.03479006341556344,0.026954385649954213,0.0073422592776275905,5.388283636308464e-05
7,-7.112504431083743e-06,13,0.02774049793398875,0.023765316341065035,0.006894246346202757,4.753058209441078e-05
8,0.0003418867633060947,14,0.03890993934635385,0.030080648068380768,0.007756371325353212,6.0044409577837625e-05
9,-0.00035586763137236346,18,0.028778096316558185,0.021760310019264165,0.006597015995018379,4.3393978267469753e-05
10,-0.000608492319928534,11,0.008911139050302216,0.002773122443821366,0.0023550466848117325,5.175981984230723e-06
11,0.0002638227438174885,13,0.021331802041648112,0.013676480939827306,0.005230005915833615,2.728335943949922e-05
12,0.0005304244929388587,9,0.022369400424217548,0.0182365447544758,0.006039295448059451,3.619173936624216e-05
13,0.000250456035242035,16,0.02914430751040622,0.02438282094685805,0.0069832400713219145,4.8702913668126944e-05
14,0.00044003136325736843,12,0.02285768201601493,0.01763826514365781,0.0059394048765272454,3.508290268666549e-05
15,0.00021108833190337114,8,0.025329607574489175,0.014419755964863815,0.005370243190929777,2.8794953645861883e-05
16,0.00041244345332081635,16,0.01901246448061055,0.010299009475189531,0.004538504043226034,2.0427909348191862e-05
17,0.00037447955955857015,12,0.028289814724760803,0.019877546544856392,0.006305164001809373,3.961485814918561e-05
18,0.0008655077353098118,10,0.023712174801660345,0.01792490129796683,0.005987470467228515,3.5100698956052534e-05
19,0.0008916918356699467,12,0.02630617075808394,0.019085437655205668,0.0061782582748223895,3.737576098061089e-05
