Channel,Mean,Zero_Crossing_Rate,Range,Energy,RMS,Variance
1,0.0005183537505343424,66,0.06568223484819148,0.06580507919476167,0.01147214706973038,0.00013134146777883033
2,0.0003631392474348698,84,0.08811262340585918,0.11168567584157996,0.014945613125033041,0.00022323948157013234
3,0.00016703897278724366,78,0.05271614526000383,0.03438619053474608,0.008292911495336976,6.874447905106233e-05
4,4.532808803972998e-05,67,0.03284111742409574,0.019845288770370187,0.006300045836399952,3.9688522905175035e-05
5,0.00033909992805239057,49,0.029907184743556928,0.014844244367248516,0.005448714411170495,2.957349997329189e-05
6,0.0004199250412517503,70,0.06501973392032788,0.05385108595593898,0.010377965692363699,0.00010752583487160768
7,0.0015700266520229645,63,0.05224293031152982,0.05039603080242114,0.010039524969083063,9.832707791677982e-05
8,0.0009792651103480204,87,0.11319301567498129,0.18474745387383815,0.019222250329960753,0.0003685359475913313
9,-0.0002353830193950479,87,0.10420193165397526,0.1981999020007853,0.019909791661430577,0.0003963443988357511
10,0.00044377507465483997,74,0.022335745567972895,0.0075219452360777515,0.003878645442954989,1.4846954155270593e-05
11,-0.0003133688429035634,42,0.021862530619498895,0.007300614934508946,0.0038211555672358977,1.4503029837315176e-05
12,0.0021770667879254147,89,0.15682343392428427,0.31992601578181207,0.025295296629287114,0.0006351124117645364
13,0.004069358723883254,74,0.17556274588385473,0.44454698356763217,0.02981767876839618,0.0008725342867116196
14,0.0035550687178817087,79,0.08205547206539196,0.12198171613210027,0.015619328803255297,0.00023132491867533945
15,0.0028923785040387154,41,0.02498574927942731,0.01600362126036583,0.005657494367715416,2.3641389110106423e-05
16,-0.0004498440340434656,66,0.01883395494926528,0.004670788124211242,0.0030563992292275046,9.139216593457984e-06
17,0.0018433556062615486,96,0.13609661918112298,0.22997058537275464,0.02144623908160844,0.00045654321085437336
18,1.3528043502277542e-05,68,0.055934006909627035,0.050368314851476706,0.010036763905908788,0.0001007364466949924
19,0.0012826905353095512,84,0.06274830216765268,0.05624054395006482,0.01060571015538939,0.00011083579289075696
