Channel,Mean,Zero_Crossing_Rate,Range,Energy,RMS,Variance
1,-0.005595922568944939,4,0.11941536679394715,0.5233051119242531,0.03235135582705161,0.001015295874450879
2,-0.0034117169384373022,4,0.16735851558855258,0.8026309264551648,0.04006571917375663,0.0015936220404423093
3,-0.003760288959781657,7,0.09268194964304051,0.2685520305568092,0.023175505628003426,0.0005229642880525625
4,-0.004464268944755533,9,0.06527714530341247,0.16158514023495674,0.0179769374608111,0.0003032405832588048
5,-0.0024906347507105157,5,0.05035403915410499,0.11277435278009322,0.015018279047886494,0.0002193454440987396
6,0.001612578570759806,7,0.11849983880932706,0.3427789398104999,0.026183160229830926,0.000682957469974126
7,0.002274383233242182,7,0.18261731533222075,0.8253367747049318,0.040628481997360716,0.0016455007303182105
8,-0.0014062834057264814,10,0.09753424796152699,0.2423430094929803,0.022015585819731454,0.0004827083859687389
9,-0.0012892178940930585,6,0.10186774708872876,0.31072301960257476,0.024928819450690993,0.0006197839564266998
10,-0.00253287110840099,9,0.05435184468694605,0.10152844768349836,0.014249803344853455,0.00019664145931522426
11,0.005824312476007095,7,0.1002197967164126,0.30931786669564265,0.02487238897635861,0.0005847131175731135
12,0.0038592232098185342,9,0.11911019079907378,0.2957422481617624,0.024320454278724417,0.0005765908925403227
13,0.00047805629221859023,19,0.11386116368725194,0.2853036345289046,0.02388738723799255,0.0005703787312392795
14,-0.0016085540551285464,10,0.11288460050365717,0.3153517756292128,0.025113811961915013,0.0006281161051101551
15,-0.0006440758409307668,8,0.1060181406190065,0.3756899520651806,0.02741130978502051,0.0007509650704414906
16,0.004811860595415226,13,0.07928472346809985,0.15623274378440988,0.01767669334374559,0.00028931148517911005
17,0.002447051811141531,11,0.08636480654916188,0.1817553129141301,0.019065954626723,0.00035752256326184915
18,-0.0012287930471081329,8,0.10366828545848161,0.22523596578822397,0.021224324054641832,0.00044896199922382656
19,0.00158468548482838,9,0.07592778752449286,0.13467869839769636,0.01641211128390838,0.00026684616870956693
