Channel,Mean,Zero_Crossing_Rate,Range,Energy,RMS,Variance
1,-0.00037588717663605636,22,0.028411885122710145,0.018208886110385097,0.006034713930317674,3.6276481051210764e-05
2,0.0004305098722173194,12,0.03765871776737306,0.03585268297385137,0.008467902098377304,7.152002719762618e-05
3,-0.0004476645706302717,18,0.029174825109893558,0.021597724156575234,0.006572324422390488,4.299504474535289e-05
4,-0.00014883623645027365,15,0.029418965905792245,0.022962464379906553,0.006776793398046978,4.5902776534532425e-05
5,0.0005133346372259506,14,0.033172630642734624,0.025244065110610565,0.007105499997974888,5.022461777144523e-05
6,0.0008721605719980513,14,0.036926295379676996,0.038823160929775564,0.008811715035085458,7.688565779620316e-05
7,0.0002602827022769575,12,0.034301781823766066,0.031049762895019963,0.007880325233773028,6.203177870493533e-05
8,-0.0003962729330935971,14,0.022338882824730212,0.012921518939236883,0.005083604811398479,2.568600564097116e-05
9,7.778745734268589e-05,14,0.023437516406274318,0.010912414274605955,0.004671705100839725,2.1818777660692067e-05
10,4.5805013079957466e-05,13,0.010589607022105714,0.002116205493015743,0.0020572824273860616,4.230312886808231e-06
11,0.00023037545477936795,22,0.024078385995508385,0.01321912907352008,0.005141814674513285,2.6385185296875363e-05
12,8.401304763810247e-05,14,0.030120870694000983,0.02125007084263835,0.006519213271958258,4.249308349310327e-05
13,-7.132153375243977e-05,14,0.024139421194483056,0.016802044015172934,0.005796903313869041,3.3599001269169063e-05
14,0.0006999802756904997,11,0.025573748370387863,0.017797337481100295,0.005966127300200742,3.510470257584485e-05
15,0.0007449632173348335,11,0.023773210000635023,0.013817344267356417,0.0052568706028123646,2.707971833953097e-05
16,0.00017452824771754195,17,0.026062029962185245,0.012223270992039825,0.004944344444320162,2.4416081874828292e-05
17,0.00024026315701326472,13,0.030853293081697056,0.020085287761278464,0.006338026153508435,4.011284913793894e-05
18,0.000526335134607556,15,0.023986833197046375,0.013084658430861477,0.005115595455244966,2.5892288187800604e-05
19,0.00030489943272744293,13,0.02981569469912762,0.015999766957685152,0.005656813052892088,3.190657025129279e-05
