Channel,Mean,Zero_Crossing_Rate,Range,Energy,RMS,Variance
1,0.00311764554227626,2,0.04666140961613728,0.06043039621874168,0.010993670562532032,0.00011114107871020834
2,8.413511803605189e-05,9,0.02981569469912762,0.017388127849465317,0.005897139620098089,3.476917698084369e-05
3,0.0022702938749108795,2,0.02819826192629879,0.029459697584329318,0.007675897026970765,5.3765160890200764e-05
4,0.0032548526695713245,2,0.04495242404484645,0.06573942766453036,0.011466422952650086,0.00012088478942844513
5,0.0012261036908521783,5,0.019744886868306624,0.010962321217329414,0.004682375725490088,2.0421312173937494e-05
6,-0.0006958336896612906,7,0.026000994763210574,0.016676835533369447,0.005775263722700366,3.286948654307125e-05
7,-0.00188003862016789,7,0.03439333462222807,0.03801213372953051,0.008719189610225312,7.248972224573821e-05
8,-0.0009965541150095028,9,0.029602071502716265,0.025789309735493118,0.007181825636353631,5.0585499366843874e-05
9,-0.00018582356702892544,5,0.016113292529313594,0.00755165277075653,0.003886297150439356,1.5068775143449702e-05
10,9.432799626482225e-05,6,0.009277350244150252,0.002018339624373491,0.002009148886654989,4.027781477867646e-06
11,-0.0015855437851150954,7,0.035247827407873494,0.033743740745331645,0.00821507647503438,6.497353239614617e-05
12,-0.0020712618985555403,5,0.03555300340274685,0.04061550739338371,0.00901282501698371,7.694088893435953e-05
13,-0.0015839568699417533,13,0.03402712342838003,0.0354388705244448,0.00841889191336304,6.836882168305392e-05
14,-0.0015706511965652746,5,0.02536012517397651,0.02342482974589013,0.0068446811095755405,4.438271431050832e-05
15,-0.001953463964534422,7,0.033935570629918026,0.032245880876585725,0.008030676294881488,6.067574029243693e-05
16,-0.002058078295577011,7,0.03503420421146214,0.03444706800176608,0.008300249153099692,6.465844973280699e-05
17,-0.0024017064658044185,7,0.03540041540531018,0.03831546489635124,0.008753909400530854,7.08627358448157e-05
18,-0.0019861177959858718,5,0.031921409063753826,0.034149408589227284,0.008264309842839544,6.435415327892279e-05
19,-0.002253757143489811,17,0.03421022902530405,0.034613284097541705,0.008320250488722284,6.414714693325206e-05
