Channel,Mean,Zero_Crossing_Rate,Range,Energy,RMS,Variance
1,0.009191437326165851,28,0.0691840254668991,0.1033612098753728,0.014377844753326055,0.00012223989962991072
2,0.009753995256911747,56,0.0685215245390355,0.11827829873359526,0.01538039653153294,0.0001414161739953337
3,0.001722401865431593,40,0.04098041453784858,0.02795449368826062,0.007477231264079053,5.2942319190478995e-05
4,0.001393422833252467,72,0.0456179210328938,0.025032966682000724,0.007075728468786902,4.8124306171772114e-05
5,-0.0001848436628980248,45,0.02820361092905052,0.013991250229616881,0.0052898488125119195,2.7948333279520203e-05
6,-0.00020471869073393256,69,0.03927684072334217,0.025160712722711323,0.0070937596128867126,5.0279515703086826e-05
7,-0.001777306607502736,46,0.029055397836303728,0.02135648544596084,0.006535516115191032,3.9554152114848794e-05
8,-0.0017169243800774535,80,0.052905431239393425,0.052029002888226095,0.010200882597915349,0.00010111017644954784
9,5.7673183473038184e-06,60,0.029433969795082927,0.01460752287607757,0.005405094425831536,2.9215012490194223e-05
10,-0.0003326760128013027,26,0.013250018557272055,0.004467308796370016,0.002989083068892538,8.82394426324666e-06
11,-0.0007036765324049204,31,0.01845538299048608,0.005028842408391559,0.0031713853150923048,9.562524154525706e-06
12,-0.0012948166460386437,83,0.07363224598255473,0.05816717147749133,0.010785839928117914,0.00011465779280812392
13,-0.011006323104601505,43,0.08839655237494357,0.19904545781033212,0.019952215807289782,0.00027695176733777936
14,-0.00042353328290831106,71,0.060003655466503464,0.05481200293989097,0.010470148321766121,0.00010944462543805087
15,3.908165071987324e-05,16,0.018171454021401676,0.007154104211322572,0.00378261925425295,1.430668104722215e-05
16,-0.0002806223684691624,37,0.012492874639713655,0.0028316315376242553,0.002379761138275964,5.584514161563268e-06
17,-0.000571554918790979,61,0.045712564022588595,0.04246048475386908,0.009215257430356363,8.459429448254399e-05
18,0.0005440966437313284,55,0.04419827618747179,0.029273504058562085,0.007651601670050799,5.8250966959404474e-05
19,5.668524680310627e-05,41,0.03511254917677095,0.028008670080029385,0.0074844732720518664,5.6014126942853645e-05
